"","id","num.picture","task1","task2","task3","latitude","longitude","gender","educ","age"
"49","1564665651_endBrnoa59575a5b0371f34bf38fe41b73590fb.csv",158,1,1,4,49.203654603107,16.6397998465584,1,3,23
"50","1564665651_endBrnoa59575a5b0371f34bf38fe41b73590fb.csv",19,1,2,4,49.1847336228096,16.5636110816893,1,3,23
"51","1564665651_endBrnoa59575a5b0371f34bf38fe41b73590fb.csv",446,1,4,4,49.1634428389748,16.563835733984,1,3,23
"52","1564665651_endBrnoa59575a5b0371f34bf38fe41b73590fb.csv",1196,1,4,1,49.173371815575,16.6156143168682,1,3,23
"53","1564665651_endBrnoa59575a5b0371f34bf38fe41b73590fb.csv",529,1,2,1,49.209015975363,16.5890740580329,1,3,23
"54","1564665651_endBrnoa59575a5b0371f34bf38fe41b73590fb.csv",111,1,3,3,49.2263268611474,16.611810988206,1,3,23
"55","1564665651_endBrnoa59575a5b0371f34bf38fe41b73590fb.csv",968,1,6,3,49.228070297114,16.5758928023123,1,3,23
"56","1564665651_endBrnoa59575a5b0371f34bf38fe41b73590fb.csv",799,1,5,2,49.2058691384866,16.5537019213365,1,3,23
"57","1564665651_endBrnoa59575a5b0371f34bf38fe41b73590fb.csv",711,0,2,5,49.1916531273375,16.6158126573775,1,3,23
"58","1564665651_endBrnoa59575a5b0371f34bf38fe41b73590fb.csv",569,1,2,2,49.1814101255496,16.6250551010538,1,3,23
"59","1564665651_endBrnoa59575a5b0371f34bf38fe41b73590fb.csv",583,1,2,2,49.213840752745,16.5687916357444,1,3,23
"60","1564665651_endBrnoa59575a5b0371f34bf38fe41b73590fb.csv",1083,1,3,4,49.2114701327614,16.607232254992,1,3,23
"61","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",1226,1,0,1,49.1885701913221,16.6116696124178,0,3,32
"62","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",356,0,2,5,49.162184459743,16.5591450810586,0,3,32
"63","1564665785_endBrnod155fffd50d9d151e6d10e0b4c7642cd.csv",934,0,1,0,49.1957683303969,16.5553549065514,0,3,32
