"y";"x";"availability"
"5";48.9444309247549;14.5199424175762;"1"
"8";48.9416657746145;14.4510107905098;"1"
"10";48.9659314928692;14.4819133502054;"1"
"12";49.0071268611474;14.4852837394642;"1"
"18";48.9922492090149;14.4547702395662;"1"
"20";48.9608720325557;14.4509751823849;"1"
"28";48.9611651905104;14.5258380008105;"1"
"31";48.9776844174234;14.475533235622;"1"
"32";48.9783028679244;14.4545909779037;"1"
"33";48.9634953152263;14.458922540672;"1"
"34";48.9745251653792;14.481151563647;"1"
"36";48.9711844317425;14.5088358687091;"1"
"40";48.9830325763531;14.5140665517325;"1"
"41";48.9767460262961;14.486200694904;"1"
"47";48.9564098842284;14.4997772696434;"1"
"48";48.9658507631294;14.4787035389349;"1"
"49";48.9644520788868;14.4522589923598;"1"
"54";48.9713552455373;14.4808486865625;"1"
"57";48.9692240201344;14.4796875132585;"1"
"58";48.9806778811142;14.5079066616144;"1"
"68";48.9668456178132;14.4812876679537;"1"
"76";48.9979791059596;14.4824551408951;"1"
"77";48.9569717431755;14.467654055625;"1"
"78";48.9852912941036;14.4331847589562;"1"
"79";48.9936369719155;14.4606746931155;"1"
"80";48.9605062315384;14.4988339450601;"1"
"81";48.9814087244163;14.5271261322576;"1"
"82";48.9419364379118;14.4772684964101;"1"
"84";48.9744979426352;14.4852063921254;"1"
"85";48.9605786028855;14.4470203593079;"1"
"87";48.99035175084;14.4682281263794;"1"
"90";48.9620342010096;14.5238115876968;"1"
"92";48.9876679632247;14.5242765781982;"1"
"96";48.9529840943952;14.4816207188468;"1"
"100";48.9684556336407;14.5069105263848;"1"
"102";49.0069343722422;14.4874888494917;"1"
"103";48.9892612413953;14.4562442780433;"1"
"104";48.9988827044565;14.4479003359116;"1"
"106";48.9847448724174;14.4612273071017;"1"
"108";48.9886326784301;14.4397568467065;"1"
"121";49.005469157273;14.5071472104962;"1"
"123";48.9676985282421;14.5346074274782;"1"
"126";48.9782447837451;14.4565955118435;"1"
"130";48.9656103640906;14.4604335053187;"1"
"134";48.9818089476583;14.4719082552188;"1"
"136";48.9928868869379;14.476816818967;"1"
"140";48.9807983083967;14.5208466675649;"1"
"142";48.9911253683412;14.5334047720868;"1"
"143";48.9638836390911;14.4610851472067;"1"
"144";48.9699232305991;14.4783068318525;"1"
"145";48.9431633094529;14.4646614824028;"1"
"148";48.9919739103532;14.4875865598597;"1"
"150";48.9577133297768;14.4887763570872;"1"
"151";48.9829457373614;14.4736629130812;"1"
"152";48.9989524850976;14.450577386544;"1"
"153";48.9782332153308;14.4345127398;"1"
"157";48.9606798945681;14.4915281607806;"1"
"159";48.9510784200452;14.4667032516157;"1"
"160";48.9582874488545;14.4863973914135;"1"
"161";48.9773281798551;14.4726100027271;"1"
"165";48.9842204674738;14.4348228257236;"1"
"167";48.9592184659258;14.4727824958352;"1"
"168";48.9836997700047;14.4334769554703;"1"
"172";48.9875014628168;14.4895945854532;"1"
"175";48.9636094784863;14.4631899254123;"1"
"177";48.9485294473211;14.4720161138208;"1"
"181";48.9843182778528;14.4780246546387;"1"
"182";48.9565466456708;14.4633279109797;"1"
"183";49.0073407237739;14.4913983411696;"1"
"190";48.9827152654756;14.5069598594762;"1"
"196";48.9590028723665;14.5156570742601;"1"
"201";48.979028117832;14.4979847833827;"1"
"202";48.9712363421044;14.4834610237655;"1"
"204";48.9732558558366;14.5097337449644;"1"
"205";48.9781026476107;14.4832360416299;"1"
"206";48.9954811614687;14.5058335167111;"1"
"207";48.9574192777071;14.4592509317444;"1"
"208";48.9460228397644;14.4698378056612;"1"
"210";48.9892874399098;14.5336239497839;"1"
"212";48.9742914717856;14.4562571534222;"1"
"215";48.9604065064157;14.4876759065543;"1"
"216";48.9568716741201;14.5277594407479;"1"
"219";48.9703339187733;14.4780707048017;"1"
"221";48.9678046764255;14.4718296750929;"1"
"223";48.9521809445782;14.453818687318;"1"
"226";48.9701775584696;14.4803002384751;"1"
"229";48.9777271488955;14.4813285914991;"1"
"230";48.9986730997869;14.4797399102343;"1"
"235";48.9849878058488;14.4877121941858;"1"
"236";49.0099077680755;14.4487828297854;"1"
"244";48.9892694674728;14.5010961904753;"1"
"245";48.9912397007585;14.5330293341446;"1"
"246";48.9407353268966;14.4778305244136;"1"
"248";49.0042057985276;14.4885021300296;"1"
"250";48.9750288560101;14.512922545345;"1"
"251";48.9835225202794;14.4838499880633;"1"
"252";48.9752504632483;14.4909496265942;"1"
"253";48.9635888559789;14.4544483461547;"1"
"256";48.9933508444341;14.4872700237058;"1"
"257";48.9985325459995;14.4542804183381;"1"
"259";48.9543356722974;14.4901699648275;"1"
"260";48.957695592613;14.482549612777;"1"
"264";48.999634181002;14.4549456487243;"1"
"267";48.9813787651978;14.5075732770979;"1"
"270";48.9584292797655;14.5075143293349;"1"
"273";48.964503760427;14.4667424107783;"1"
"278";48.9865561176845;14.4852597964076;"1"
"281";48.9457151723217;14.4659986020287;"1"
"282";48.9779949608908;14.4725889536781;"1"
"285";48.9740834407109;14.5064401190886;"1"
"286";48.9843613669442;14.4563007568351;"1"
"287";48.9786369340297;14.475613881112;"1"
"289";48.9660238362507;14.5018831301198;"1"
"290";48.977979074922;14.5155369659188;"1"
"295";49.0074394037954;14.4922727474228;"1"
"297";48.9519337055284;14.5015953095835;"1"
"300";48.9754081447029;14.4594000829157;"1"
"301";48.9653025776526;14.4642239356789;"1"
"304";48.9818048369368;14.4742105147736;"1"
"309";48.9962589385031;14.485665562608;"1"
"314";48.9553704006497;14.4702128752436;"1"
"316";48.962996312339;14.4470744482307;"1"
"317";48.9797752985448;14.4465853645396;"1"
"318";48.9843510885401;14.4703030597511;"1"
"321";49.0030001313838;14.4472644807783;"1"
"323";48.944045971767;14.4690712285351;"1"
"327";48.96625820519;14.4723834853929;"1"
"329";48.9590360429737;14.4976844210653;"1"
"331";48.949694949293;14.5060081786775;"1"
"333";48.9670360155991;14.530082114466;"1"
"334";49.0078171617202;14.4468806983955;"1"
"335";48.9940207877466;14.4773460558712;"1"
"336";48.9478836473957;14.4678497569602;"1"
"340";48.9590833240228;14.4705350615396;"1"
"343";48.9700596170346;14.4822419403739;"1"
"348";48.969671106875;14.4987319734723;"1"
"351";49.0006108376112;14.4475642497151;"1"
"352";48.9513119407473;14.5070635828037;"1"
"354";48.97024782166;14.5032645302388;"1"
"358";48.9741624785606;14.5057231313119;"1"
"359";48.9547352086409;14.4788947390621;"1"
"362";49.0100426270273;14.4867061604162;"1"
"368";48.9447772720124;14.4511231620943;"1"
"372";48.9561233549003;14.4545828992481;"1"
"373";48.9700505021269;14.5219065586723;"1"
"374";48.9878731765554;14.4790214465919;"1"
"376";48.9418627026368;14.4688421407787;"1"
"379";48.99310085589;14.4717231580338;"1"
"381";48.9785441440741;14.4578904708969;"1"
"382";48.9706124411432;14.4480967190266;"1"
"386";48.9855108206917;14.4381323580162;"1"
"389";49.0094524887488;14.5335459316991;"1"
"391";48.9713734287083;14.5013802545179;"1"
"394";48.9968514275799;14.4970900492966;"1"
"395";48.9410990245416;14.4438249798656;"1"
"397";48.9638996241503;14.4874371515875;"1"
"398";48.9857308177428;14.4843535711909;"1"
"400";48.9452463769292;14.4656940391526;"1"
"402";48.9802428471375;14.4712041709422;"1"
"406";49.0082337959238;14.4462002575479;"1"
"407";48.9444614079493;14.5086817071342;"1"
"410";49.0057943765683;14.4711256782194;"1"
"415";48.9869045597622;14.5206108775345;"1"
"416";48.9522498332215;14.4712359077132;"1"
"417";48.9799259140175;14.4817792501419;"1"
"426";49.0043947554004;14.4474326800247;"1"
"427";48.9710833728326;14.4314258083047;"1"
"428";48.9797682593193;14.4722146563181;"1"
"429";48.9799741610821;14.4626659014305;"1"
"433";48.99023574387;14.4737348011241;"1"
"437";48.9918992276838;14.4672177355582;"1"
"438";48.9697208710377;14.528112368283;"1"
"439";49.0041177611479;14.5061844520075;"1"
"444";48.985925314364;14.4805465342186;"1"
"449";48.9791961973695;14.4927697438517;"1"
"451";48.9531142616691;14.4534406652123;"1"
"453";48.991675722356;14.5350074765921;"1"
"456";48.9749581532974;14.5001512735569;"1"
"458";48.9597037100724;14.4920399585723;"1"
"459";48.9988455319207;14.4884645708134;"1"
"464";48.9512099657005;14.4822088961836;"1"
"466";48.9900922566108;14.446628819352;"1"
"469";48.9991187766886;14.4940841653914;"1"
"470";48.9888290751413;14.488270863556;"1"
"473";48.9871529837802;14.4255671534877;"1"
"475";48.9809957775991;14.4693152715164;"1"
"478";49.0104284028129;14.4767475823895;"1"
"480";48.9877647760307;14.4410854687702;"1"
"481";48.9741498367883;14.4829364823891;"1"
"482";48.9712118931439;14.4869781968796;"1"
"487";48.9707596913069;14.5090378861561;"1"
"488";48.9663894743455;14.5025966019528;"1"
"489";48.9839800973918;14.5092993102195;"1"
"492";48.9652744683621;14.5092385940126;"1"
"495";48.9816658061822;14.4975801265273;"1"
"498";48.9622477725328;14.4347098655603;"1"
"500";48.9523568649839;14.4908714396034;"1"
"507";48.9727869613703;14.5073798954437;"1"
"511";48.9558314926237;14.464498998685;"1"
"513";48.981515934955;14.5275383442185;"1"
"516";48.9715736423538;14.5114867508267;"1"
"521";48.9597846737517;14.5171454678131;"1"
"522";48.9566828745018;14.452680733888;"1"
"525";48.9943847229821;14.4872630754669;"1"
"526";48.9505659635905;14.5140131297244;"1"
"528";48.9643093750826;14.4298688505037;"1"
"529";48.9987855100922;14.494889963695;"1"
"531";48.9819708111682;14.4532019927446;"1"
"532";48.9789807642321;14.4940213076556;"1"
"533";48.9605698266592;14.4700041711795;"1"
"536";48.9472620556729;14.5345963517805;"1"
"538";48.9749070757023;14.4974205191679;"1"
"540";48.979660985432;14.4819157714139;"1"
"541";48.9436269917496;14.4672222137787;"1"
"543";48.9718065950027;14.5314702352234;"1"
"544";48.9735307365645;14.4491796957872;"1"
"546";48.9639211558263;14.4729316071362;"1"
"547";48.9781790275548;14.5163970074159;"1"
"548";48.9606311173927;14.5224024550023;"1"
"551";48.9772432547068;14.4537462778449;"1"
"552";48.9744264077892;14.4500122256174;"1"
"557";49.0071688216175;14.4800799433876;"1"
"560";48.9599366227783;14.5165933341607;"1"
"563";48.9531528001499;14.500192792373;"1"
"565";48.9445906924943;14.4520101855782;"1"
"568";48.9703193943651;14.492672026894;"1"
"572";48.9663045144388;14.5136912706919;"1"
"573";48.9594242394245;14.447289779349;"1"
"575";48.9782420356845;14.4697017259255;"1"
"576";48.9726760380891;14.4679498067272;"1"
"579";49.0012572495338;14.4859553684102;"1"
"584";48.9851232388719;14.458590002576;"1"
"586";48.958096510572;14.4648091203412;"1"
"587";48.9845065744169;14.4548396198914;"1"
"594";49.0074224003413;14.4909094876077;"1"
"595";48.9572932286065;14.4646541446302;"1"
"597";48.9826699786559;14.4955094651794;"1"
"598";48.9676812968332;14.501946312003;"1"
"599";48.9899113062127;14.4940839984009;"1"
"603";48.986060566927;14.4441736207671;"1"
"604";49.0084625091703;14.4869916365984;"1"
"608";48.9836285432493;14.4484043404232;"1"
"609";48.9623825095885;14.4813838983182;"1"
"610";48.9674501298136;14.4688276967418;"1"
"611";48.9787230463467;14.453820159046;"1"
"616";48.9505083884002;14.4670399323933;"1"
"617";48.9730744317412;14.4614214884353;"1"
"618";48.9829509952754;14.4984315064857;"1"
"619";48.9769858106038;14.5107721146324;"1"
"620";48.9723568454592;14.4786081418625;"1"
"621";48.9690486597466;14.5274608373218;"1"
"624";48.9836990458973;14.5160586585982;"1"
"627";48.9854958876186;14.4785998362194;"1"
"629";48.9758865310676;14.4596453005261;"1"
"631";48.962282509033;14.5231575083814;"1"
"632";48.9581438616713;14.4921277811277;"1"
"636";48.9486919075245;14.5170459226699;"1"
"637";48.9791686930912;14.457004744769;"1"
"639";48.9737690590042;14.4538879498968;"1"
"641";48.9594295552524;14.486592708553;"1"
"643";48.9848315730091;14.481408487422;"1"
"646";49.0114010989367;14.4645846771573;"1"
"649";48.9969593778632;14.4816656275592;"1"
"650";48.9831864842673;14.5137768924109;"1"
"651";48.9994891090285;14.4514788973067;"1"
"654";48.9415098250095;14.4748817769434;"1"
