"num.picture" "id" "task1" "task2" "task3" "date" "personID" "gender" "educ" "age" "clouds" "water" "trees_30" "trees_5" "bush" "shade" "experience"
"38" 6 "1565381790_endBrnod3fc13e0fb14cbbcc160f3a375fea38a.csv" 1 "6" "2" "1565381790" "d3fc13e0fb14cbbcc160f3a375fea38a" 1 2 31 0 0 1 0 1 0 0
"39" 6 "1565003942_endBrno82d7058aa76b306a6372c8073a6a31a9.csv" 1 "5" "3" "1565003942" "82d7058aa76b306a6372c8073a6a31a9" 1 1 29 0 0 1 0 1 0 0
"40" 6 "1565003529_endBrnoebbe5e399355c4a3551da0275f86384f.csv" 1 "5" "0" "1565003529" "ebbe5e399355c4a3551da0275f86384f" 1 2 63 0 0 1 0 1 0 0
"41" 6 "1565377515_endBrno4c581fd5a0b0072cb88469530ab0b2db.csv" 1 "6" "0" "1565377515" "4c581fd5a0b0072cb88469530ab0b2db" 1 2 31 0 0 1 0 1 0 0
"42" 6 "1566049645_endBrno10357.csv" 1 "4" "2" "1566049645" "10357" 1 2 19 0 0 1 0 1 0 0
"43" 6 "1565343299_endBrno10153.csv" 1 "5" "3" "1565343299" "10153" 0 3 30 0 0 1 0 1 0 0
"44" 6 "1565377205_endBrnob8468ce655b0fa63bfa05e41958f83f4.csv" 1 "4" "2" "1565377205" "b8468ce655b0fa63bfa05e41958f83f4" 1 3 27 0 0 1 0 1 0 0
"45" 6 "1565637466_endBrno10305.csv" 1 "5" "3" "1565637466" "10305" 1 2 42 0 0 1 0 1 0 0
"46" 6 "1565633196_endBrno10408.csv" 1 "5" "2" "1565633196" "10408" 1 2 33 0 0 1 0 1 0 0
"47" 8 "1565379621_endBrnoeac9758e85452f95330c4657e8617631.csv" 1 "4" "4" "1565379621" "eac9758e85452f95330c4657e8617631" 1 2 30 0 0 1 0 1 1 0
"48" 8 "1565355762_endBrno10200.csv" 1 "5" "0" "1565355762" "10200" 0 2 32 0 0 1 0 1 1 0
"49" 8 "1565634149_endBrno10294.csv" 1 "2" "3" "1565634149" "10294" 1 3 56 0 0 1 0 1 1 0
"50" 8 "1564694492_endBrno0bd227ce1c52c2e637801d06a8980f4c.csv" 1 "2" "2" "1564694492" "0bd227ce1c52c2e637801d06a8980f4c" 1 1 51 0 0 1 0 1 1 0
"51" 8 "1565590359_endBrno4ded14ad85daf3577c2045a4aab19566.csv" 1 "3" "0" "1565590359" "4ded14ad85daf3577c2045a4aab19566" 1 3 28 0 0 1 0 1 1 0
"52" 8 "1565620092_endBrno10346.csv" 0 "2" "4" "1565620092" "10346" 1 1 31 0 0 1 0 1 1 1
"53" 8 "1565437331_endBrno6f1b3ca90f78ae96d5c5d3dc0c18bdae.csv" 1 "6" "0" "1565437331" "6f1b3ca90f78ae96d5c5d3dc0c18bdae" 1 3 56 0 0 1 0 1 1 0
"54" 9 "1565376571_endBrnoaa701d89b6959ec0933c951937a888a9.csv" 1 "2" "3" "1565376571" "aa701d89b6959ec0933c951937a888a9" 0 2 44 0 0 1 0 0 0 0
"55" 9 "1565376337_endBrno01cb9fcbd62e2dabe49b5fd1e328be9e.csv" 1 "4" "2" "1565376337" "01cb9fcbd62e2dabe49b5fd1e328be9e" 0 2 38 0 0 1 0 0 0 0
"56" 9 "1565378474_endBrno3d099e0918ae443ed5e02b57a61ab8a0.csv" 1 "2" "3" "1565378474" "3d099e0918ae443ed5e02b57a61ab8a0" 1 2 45 0 0 1 0 0 0 0
"57" 9 "1565026115_endBrno4db20f42faa6a77c2d4cae7e0738e744.csv" 1 "6" "1" "1565026115" "4db20f42faa6a77c2d4cae7e0738e744" 0 3 33 0 0 1 0 0 0 0
"58" 9 "1565676920_endBrno10495.csv" 1 "5" "2" "1565676920" "10495" 1 2 48 0 0 1 0 0 0 0
"59" 9 "1566115786_endBrnof86813feada72efe6b69fb012cd57479.csv" 1 "3" "3" "1566115786" "f86813feada72efe6b69fb012cd57479" 0 2 52 0 0 1 0 0 0 0
"60" 9 "1565343993_endBrno10158.csv" 0 "6" "0" "1565343993" "10158" 0 2 26 0 0 1 0 0 0 1
"61" 10 "1565006733_endBrno277f3c9051a9883dce86d11ea276ca68.csv" 1 "6" "1" "1565006733" "277f3c9051a9883dce86d11ea276ca68" 1 1 43 1 0 1 1 1 1 0
"62" 10 "1565594943_endBrno6a77b03d03061a6532e6e46f26998425.csv" 1 "5" "2" "1565594943" "6a77b03d03061a6532e6e46f26998425" 1 3 39 1 0 1 1 1 1 0
"63" 10 "1565511529_endBrno10086.csv" 1 "4" "3" "1565511529" "10086" 1 3 25 1 0 1 1 1 1 0
"64" 10 "1565381790_endBrnod3fc13e0fb14cbbcc160f3a375fea38a.csv" 1 "4" "0" "1565381790" "d3fc13e0fb14cbbcc160f3a375fea38a" 1 2 31 1 0 1 1 1 1 0
"65" 10 "1565354981_endBrno10209.csv" 1 "4" "3" "1565354981" "10209" 0 1 55 1 0 1 1 1 1 0
"66" 10 "1565637282_endBrno10313.csv" 1 "2" "3" "1565637282" "10313" 1 2 62 1 0 1 1 1 1 0
"67" 10 "1565381300_endBrno7ad6cba7de741235f7bef1f7326cee02.csv" 1 "3" "3" "1565381300" "7ad6cba7de741235f7bef1f7326cee02" 1 1 30 1 0 1 1 1 1 0
"68" 10 "1565347847_endBrno10163.csv" 1 "4" "3" "1565347847" "10163" 0 2 23 1 0 1 1 1 1 0
"69" 10 "1565425537_endBrnoffdaabc72d4501806c183115b1e42157.csv" 1 "6" "2" "1565425537" "ffdaabc72d4501806c183115b1e42157" 1 2 30 1 0 1 1 1 1 0
"70" 10 "1565001949_endBrnoeac7db3f7db46a8f920758cc7b1d27cc.csv" 1 "4" "4" "1565001949" "eac7db3f7db46a8f920758cc7b1d27cc" 0 0 17 1 0 1 1 1 1 0
"71" 11 "1565639251_endBrno10312.csv" 1 "4" "2" "1565639251" "10312" 1 2 63 0 0 1 1 1 1 0
"72" 11 "1565789560_endBrno10307.csv" 0 "6" "5" "1565789560" "10307" 1 2 35 0 0 1 1 1 1 1
"73" 11 "1565674614_endBrno10225.csv" 1 "4" "3" "1565674614" "10225" 1 2 46 0 0 1 1 1 1 0
"74" 11 "1565001066_endBrno6a6fdf85f32ed74caa6175026b1be2c7.csv" 0 "5" "2" "1565001066" "6a6fdf85f32ed74caa6175026b1be2c7" 0 2 39 0 0 1 1 1 1 1
"75" 11 "1565366718_endBrno10003.csv" 1 "4" "1" "1565366718" "10003" 1 1 26 0 0 1 1 1 1 0
"76" 11 "1565353456_endBrno10092.csv" 1 "6" "2" "1565353456" "10092" 1 3 36 0 0 1 1 1 1 0
"77" 11 "1564999299_endBrno4e4a6bc0f798765e9088f97c7b8b61ed.csv" 1 "6" "2" "1564999299" "4e4a6bc0f798765e9088f97c7b8b61ed" 0 2 22 0 0 1 1 1 1 0
"78" 11 "1565366482_endBrno10175.csv" 0 "5" "1" "1565366482" "10175" 0 3 25 0 0 1 1 1 1 1
"79" 13 "1565027237_endBrno03e3e338b5badd9746fddc511f5eeadc.csv" 1 "4" "3" "1565027237" "03e3e338b5badd9746fddc511f5eeadc" 1 1 48 0 0 0 0 1 0 0
"80" 13 "1565623117_endBrno10347.csv" 0 "6" "0" "1565623117" "10347" 1 1 54 0 0 0 0 1 0 1
"81" 13 "1565598057_endBrno78137d05e530c4ec4589abb4117524e6.csv" 0 "6" "0" "1565598057" "78137d05e530c4ec4589abb4117524e6" 1 3 31 0 0 0 0 1 0 1
"82" 13 "1564674261_endBrno0cd314eff3862ef92dce2266f2b42575.csv" 1 "4" "1" "1564674261" "0cd314eff3862ef92dce2266f2b42575" 0 1 57 0 0 0 0 1 0 0
"83" 13 "1565348451_endBrno10204.csv" 0 "5" "3" "1565348451" "10204" 0 3 65 0 0 0 0 1 0 1
"84" 13 "1565001949_endBrnoeac7db3f7db46a8f920758cc7b1d27cc.csv" 1 "4" "1" "1565001949" "eac7db3f7db46a8f920758cc7b1d27cc" 0 0 17 0 0 0 0 1 0 0
"85" 13 "1565365681_endBrno10151.csv" 0 "6" "4" "1565365681" "10151" 0 2 27 0 0 0 0 1 0 1
"86" 13 "1564992499_endBrnoe7aefdc5f79f85c3082ef1916b832130.csv" 0 "5" "1" "1564992499" "e7aefdc5f79f85c3082ef1916b832130" 1 3 44 0 0 0 0 1 0 1
"87" 13 "1564910975_endBrnof4a2c50d148d4bbb7017ccbe24772dd6.csv" 1 "6" "4" "1564910975" "f4a2c50d148d4bbb7017ccbe24772dd6" 0 2 23 0 0 0 0 1 0 0
"88" 13 "1565690706_endBrno493aa53b1553210ba6f9e2c09ab92a39.csv" 1 "6" "0" "1565690706" "493aa53b1553210ba6f9e2c09ab92a39" 1 3 33 0 0 0 0 1 0 0
"89" 14 "1565356165_endBrno10156.csv" 1 "3" "3" "1565356165" "10156" 0 2 33 0 0 1 1 0 1 0
"90" 14 "1565618399_endBrno10335.csv" 0 "5" "1" "1565618399" "10335" 1 2 61 0 0 1 1 0 1 1
"91" 14 "1565679949_endBrno22bf7f164299c739ed4aef7c9c46e202.csv" 1 "4" "1" "1565679949" "22bf7f164299c739ed4aef7c9c46e202" 1 0 18 0 0 1 1 0 1 0
"92" 14 "1565637381_endBrno10339.csv" 1 "4" "2" "1565637381" "10339" 1 0 30 0 0 1 1 0 1 0
"93" 14 "1564835230_endBrno47bfab6c2c5e134d84f5c0c8d6dc54b7.csv" 0 "5" "2" "1564835230" "47bfab6c2c5e134d84f5c0c8d6dc54b7" 1 2 28 0 0 1 1 0 1 1
"94" 14 "1565376571_endBrnoaa701d89b6959ec0933c951937a888a9.csv" 1 "2" "3" "1565376571" "aa701d89b6959ec0933c951937a888a9" 0 2 44 0 0 1 1 0 1 0
"95" 14 "1564846510_endBrno400beabbf7eca7ef7364d75e80f1bd42.csv" 1 "3" "4" "1564846510" "400beabbf7eca7ef7364d75e80f1bd42" 1 0 18 0 0 1 1 0 1 0
"96" 14 "1565635098_endBrno10396.csv" 1 "6" "0" "1565635098" "10396" 1 2 34 0 0 1 1 0 1 0
"97" 14 "1565506484_endBrno10127.csv" 1 "6" "2" "1565506484" "10127" 0 3 55 0 0 1 1 0 1 0
"98" 15 "1565690706_endBrno493aa53b1553210ba6f9e2c09ab92a39.csv" 1 "3" "3" "1565690706" "493aa53b1553210ba6f9e2c09ab92a39" 1 3 33 0 0 0 0 1 0 0
"99" 15 "1565619234_endBrno10240.csv" 1 "3" "3" "1565619234" "10240" 1 2 26 0 0 0 0 1 0 0
"100" 15 "1565601566_endBrno51935b5e59348bfcdc8ad3fe875347bb.csv" 1 "6" "1" "1565601566" "51935b5e59348bfcdc8ad3fe875347bb" 1 0 29 0 0 0 0 1 0 0
"101" 15 "1565350803_endBrno10044.csv" 1 "5" "1" "1565350803" "10044" 1 3 36 0 0 0 0 1 0 0
"102" 15 "1564807684_endBrno8ceb111cc5bc4f57fa89430b4f403d37.csv" 1 "5" "3" "1564807684" "8ceb111cc5bc4f57fa89430b4f403d37" 1 2 37 0 0 0 0 1 0 0
"103" 15 "1565356308_endBrno10193.csv" 1 "5" "1" "1565356308" "10193" 0 3 38 0 0 0 0 1 0 0
"104" 16 "1565441445_endBrno477a0d9512de7075ce48408e712cdfbf.csv" 1 "1" "3" "1565441445" "477a0d9512de7075ce48408e712cdfbf" 0 2 63 1 0 1 1 1 1 0
