"num.picture" "id" "task1" "task2" "task3" "date" "personID" "gender" "educ" "age" "clouds" "water" "trees_30" "trees_5" "bush" "shade" "experience"
"32" 7 "1565013459_endCB8abf833bbd813541cd120f83a1cb4b7e.csv" 0 "4" "1" "1565013459" "8abf833bbd813541cd120f83a1cb4b7e" 1 2 21 0 0 1 1 1 0 1
"33" 7 "1564573761_endCB0d7ce2a1a24b6c0359603a19918a6845.csv" 1 "5" "2" "1564573761" "0d7ce2a1a24b6c0359603a19918a6845" 1 3 53 0 0 1 1 1 0 0
"34" 7 "1565344926_endCB20013.csv" 1 "1" "4" "1565344926" "20013" 1 3 29 0 0 1 1 1 0 0
"35" 7 "1565066510_endCB7c0e11982d3b5914d84e97a113c9ffea.csv" 1 "2" "3" "1565066510" "7c0e11982d3b5914d84e97a113c9ffea" 0 1 46 0 0 1 1 1 0 0
"36" 7 "1566975129_secondLastTrialendCBd8c8727e-c648-4a90-68db-44e3ba88bea7.csv" 1 "4" "2" "1566975129" "d8c8727e-c648-4a90-68db-44e3ba88bea7" 1 2 44 0 0 1 1 1 0 0
"37" 8 "1565599731_endCB2c169aa2369bff1dc5466fb7c1415f94.csv" 1 "5" "3" "1565599731" "2c169aa2369bff1dc5466fb7c1415f94" 1 2 19 0 0 0 0 1 1 0
"38" 8 "1567003565_secondLastTrialendCB33f92495-0616-f353-db31-12d2797df852.csv" 1 "6" "0" "1567003565" "33f92495-0616-f353-db31-12d2797df852" 1 0 18 0 0 0 0 1 1 0
"39" 8 "1566977429_secondLastTrialendCB20130.csv" 1 "4" "4" "1566977429" "20130" 1 3 26 0 0 0 0 1 1 0
"40" 8 "1565346732_endCB20036.csv" 0 "4" "5" "1565346732" "20036" 1 2 44 0 0 0 0 1 1 1
"41" 8 "1565871410_endCB20146.csv" 0 "3" "3" "1565871410" "20146" 0 1 29 0 0 0 0 1 1 1
"42" 8 "1566975129_secondLastTrialendCBd8c8727e-c648-4a90-68db-44e3ba88bea7.csv" 0 "5" "2" "1566975129" "d8c8727e-c648-4a90-68db-44e3ba88bea7" 1 2 44 0 0 0 0 1 1 1
"43" 8 "1567016461_secondLastTrialendCBa328d06b-1147-0550-0acf-e603e410eeb7.csv" 1 "3" "3" "1567016461" "a328d06b-1147-0550-0acf-e603e410eeb7" 0 1 47 0 0 0 0 1 1 0
"44" 8 "1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv" 1 "1" "2" "1564490614" "6adbd3ba7d36527249c6fe20a3be3f64" 1 3 22 0 0 0 0 1 1 0
"45" 8 "1567000705_secondLastTrialendCB1d84e7bc-cfc6-33b7-a618-d1af9a8e3169.csv" 1 "4" "3" "1567000705" "1d84e7bc-cfc6-33b7-a618-d1af9a8e3169" 1 2 33 0 0 0 0 1 1 0
"46" 8 "1565418799_endCB20078.csv" 1 "5" "0" "1565418799" "20078" 0 2 61 0 0 0 0 1 1 0
"47" 9 "1566975805_secondLastTrialendCB20157.csv" 1 "2" "1" "1566975805" "20157" 1 3 52 1 0 0 0 0 0 0
"48" 9 "1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv" 1 "4" "2" "1564488805" "21dd98c14f864494ecd5c300876ed92a" 0 1 48 1 0 0 0 0 0 0
"49" 9 "1566931203_secondLastTrialendCB684420df-86b8-1827-e47a-166f1a7cc60b.csv" 1 "4" "2" "1566931203" "684420df-86b8-1827-e47a-166f1a7cc60b" 1 3 60 1 0 0 0 0 0 0
"50" 9 "1566992667_secondLastTrialendCBfc48f8d5-0c41-c039-e870-ce63e282400c.csv" 1 "5" "2" "1566992667" "fc48f8d5-0c41-c039-e870-ce63e282400c" 1 2 67 1 0 0 0 0 0 0
"51" 9 "1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv" 1 "1" "2" "1564490614" "6adbd3ba7d36527249c6fe20a3be3f64" 1 3 22 1 0 0 0 0 0 0
"52" 9 "1565081073_endCBf2ac86d78ae2a51fd153e186ca5e7c72.csv" 1 "5" "2" "1565081073" "f2ac86d78ae2a51fd153e186ca5e7c72" 1 2 49 1 0 0 0 0 0 0
"53" 9 "1565430662_endCB20041.csv" 1 "3" "1" "1565430662" "20041" 1 3 25 1 0 0 0 0 0 0
"54" 10 "1565682616_endCB20113.csv" 0 "4" "3" "1565682616" "20113" 1 3 39 0 1 1 0 0 1 1
"55" 10 "1567011462_secondLastTrialendCB3b7a55c0-6e22-833d-5864-6351b6f7830d.csv" 1 "5" "1" "1567011462" "3b7a55c0-6e22-833d-5864-6351b6f7830d" 1 2 28 0 1 1 0 0 1 0
"56" 10 "1565686491_endCB20105.csv" 1 "4" "3" "1565686491" "20105" 1 3 22 0 1 1 0 0 1 0
"57" 10 "1566930622_secondLastTrialendCB67c0ce40-07dd-f6ca-60e5-f8eb672e4f94.csv" 1 "2" "3" "1566930622" "67c0ce40-07dd-f6ca-60e5-f8eb672e4f94" 0 1 45 0 1 1 0 0 1 0
"58" 11 "1566997924_secondLastTrialendCBe1b54da4-2868-9b28-9700-7b9e1f39d66e.csv" 1 "5" "2" "1566997924" "e1b54da4-2868-9b28-9700-7b9e1f39d66e" 1 3 29 0 0 1 1 1 1 0
"59" 11 "1566932947_secondLastTrialendCB44f238b1-26d5-99a5-7114-0ed952066a78.csv" 1 "4" "4" "1566932947" "44f238b1-26d5-99a5-7114-0ed952066a78" 0 2 26 0 0 1 1 1 1 0
"60" 11 "1565427053_endCBba480ca42c1ba0e62ec0e3020ed3016a.csv" 1 "4" "2" "1565427053" "ba480ca42c1ba0e62ec0e3020ed3016a" 1 2 33 0 0 1 1 1 1 0
"61" 11 "1566987714_secondLastTrialendCB20080.csv" 1 "5" "2" "1566987714" "20080" 1 3 31 0 0 1 1 1 1 0
"62" 11 "1567006053_secondLastTrialendCB49ae1e82-8828-c8d3-8c26-2885687a865c.csv" 1 "2" "2" "1567006053" "49ae1e82-8828-c8d3-8c26-2885687a865c" 1 2 68 0 0 1 1 1 1 0
"63" 11 "1566999599_secondLastTrialendCBc979e0a4-8cf9-3770-5b00-d652afd1627a.csv" 1 "4" "2" "1566999599" "c979e0a4-8cf9-3770-5b00-d652afd1627a" 1 2 63 0 0 1 1 1 1 0
"64" 11 "1565289008_endCB892f2e50883e9c0443251010bfdb7335.csv" 1 "3" "4" "1565289008" "892f2e50883e9c0443251010bfdb7335" 1 3 52 0 0 1 1 1 1 0
"65" 11 "1567004298_secondLastTrialendCB0a0835a9-c34b-0d44-a80c-03231773837d.csv" 1 "6" "2" "1567004298" "0a0835a9-c34b-0d44-a80c-03231773837d" 1 2 38 0 0 1 1 1 1 0
"66" 11 "1565364269_endCB20090.csv" 1 "2" "3" "1565364269" "20090" 0 3 43 0 0 1 1 1 1 0
"67" 11 "1565392089_endCB20067.csv" 1 "5" "3" "1565392089" "20067" 1 2 58 0 0 1 1 1 1 0
"68" 11 "1565066510_endCB7c0e11982d3b5914d84e97a113c9ffea.csv" 0 "2" "3" "1565066510" "7c0e11982d3b5914d84e97a113c9ffea" 0 1 46 0 0 1 1 1 1 1
"69" 11 "1565642793_endCB20139.csv" 0 "2" "4" "1565642793" "20139" 0 2 20 0 0 1 1 1 1 1
"70" 12 "1564871606_endCB0640e578bb30441b91b6a24a2f297ab2.csv" 0 "1" "2" "1564871606" "0640e578bb30441b91b6a24a2f297ab2" 1 1 22 1 0 1 0 1 0 1
"71" 12 "1567029002_secondLastTrialendCB543e6a8a-4f44-bc78-1c2e-5c15ea07a14d.csv" 1 "4" "3" "1567029002" "543e6a8a-4f44-bc78-1c2e-5c15ea07a14d" 1 2 33 1 0 1 0 1 0 0
"72" 12 "1565105741_endCB5a88d76eeb19ce3b596331b56a30978d.csv" 1 "6" "2" "1565105741" "5a88d76eeb19ce3b596331b56a30978d" 1 3 33 1 0 1 0 1 0 0
"73" 12 "1565420704_endCB753bf633272448591c6446dc4b7d403c.csv" 1 "6" "2" "1565420704" "753bf633272448591c6446dc4b7d403c" 0 2 61 1 0 1 0 1 0 0
