"y";"x";"availability"
"1";49.1673650712964;16.5644789493908;"1"
"3";49.2034825015026;16.6188679019336;"1"
"4";49.2020926473826;16.620415893724;"1"
"6";49.2092665518484;16.6222740889305;"1"
"7";49.2119983181304;16.5530421592601;"1"
"8";49.1608657746145;16.5775224180351;"1"
"9";49.2135413283672;16.6251026924659;"1"
"10";49.1851314928692;16.6084390627624;"1"
"11";49.1612286210215;16.6281216442732;"1"
"12";49.2263268611474;16.611810988206;"1"
"13";49.2183497956952;16.583030010799;"1"
"16";49.1860923742529;16.6438931951898;"1"
"18";49.2114492090149;16.5812835806052;"1"
"19";49.2073241217461;16.572492826165;"1"
"20";49.1800720325557;16.5774867936804;"1"
"21";49.2236282507523;16.5867482169176;"1"
"22";49.2205268677024;16.5852205974376;"1"
"24";49.1617059857572;16.556389552006;"1"
"25";49.1674313989407;16.5760132496254;"1"
"29";49.1991663953487;16.643240118894;"1"
"30";49.1690150547649;16.5570232863971;"1"
"31";49.1968844174234;16.6020560401962;"1"
"32";49.1975028679244;16.5811042372373;"1"
"33";49.1826953152263;16.5854377742822;"1"
"34";49.1937251653792;16.6076769289905;"1"
"36";49.1903844317425;16.6353738522409;"1"
"38";49.1848960989168;16.5804043775972;"1"
"41";49.1959460262961;16.6127283615835;"1"
"42";49.201277998418;16.6229430688251;"1"
"44";49.229250561768;16.6202446569949;"1"
"47";49.1756098842284;16.6263111243698;"1"
"48";49.1850507631294;16.6052277884968;"1"
"49";49.1836520788868;16.5787711888012;"1"
"51";49.1844605122406;16.5600973418376;"1"
"52";49.2013359877245;16.5859881045542;"1"
"54";49.1905552455373;16.6073739138581;"1"
"55";49.213840752745;16.5687916357444;"1"
"56";49.220715186872;16.6073067003254;"1"
"57";49.1884240201344;16.6062122113047;"1"
"58";49.1998778811142;16.6344442216242;"1"
"59";49.1670800563824;16.5711678181755;"1"
"60";49.2008103660551;16.6451110670454;"1"
"61";49.2202443172309;16.6469155130642;"1"
"63";49.1646017372092;16.586810741547;"1"
"64";49.1759112788465;16.5535090558224;"1"
"65";49.1676853044264;16.5782330735033;"1"
"66";49.2279733713143;16.629537784246;"1"
"69";49.1710460271182;16.5576682164722;"1"
"70";49.1626563953737;16.6139615399372;"1"
"71";49.1723091370539;16.5653324505417;"1"
"73";49.2237107689053;16.5536053413166;"1"
"74";49.1721777474028;16.637947541126;"1"
"76";49.2171791059596;16.6089811003942;"1"
"78";49.2044912941036;16.5596882615811;"1"
"79";49.2128369719155;16.5871907253366;"1"
"80";49.1797062315384;16.6253673698299;"1"
"83";49.1671629301376;16.5676520339174;"1"
"84";49.1936979426352;16.6117336056131;"1"
"86";49.1922455322942;16.6506192086913;"1"
"87";49.20955175084;16.5947476013686;"1"
"93";49.2164030285504;16.5667150819107;"1"
"94";49.1686034273148;16.5664446512264;"1"
"98";49.2216553754481;16.5549321792703;"1"
"100";49.1876556336407;16.6334476323677;"1"
"102";49.2261343722422;16.6140171032973;"1"
"103";49.2084612413953;16.5827582909321;"1"
"104";49.2180827044565;16.5744105457274;"1"
"105";49.1966955327679;16.5666778441293;"1"
"106";49.2039448724174;16.5877435911979;"1"
"109";49.2284368805193;16.5997995338071;"1"
"111";49.2058017764603;16.6302848465323;"1"
"114";49.1608673843681;16.5653694994597;"1"
"117";49.1977187688409;16.6558073800422;"1"
"118";49.1662619940473;16.5826373954676;"1"
"119";49.1740938052655;16.5655509518834;"1"
"120";49.1889659178831;16.6394883604246;"1"
"122";49.1913415088784;16.6525281710569;"1"
"123";49.1868985282421;16.6611571573904;"1"
"125";49.1805767517504;16.6053533609823;"1"
"126";49.1974447837451;16.5831096848206;"1"
"127";49.1728990860702;16.5796071407041;"1"
"128";49.2114701327614;16.607232254992;"1"
"129";49.2182940489944;16.6065420375058;"1"
"130";49.1848103640906;16.5869494276092;"1"
"132";49.1815981202078;16.6215924056642;"1"
"134";49.2010089476583;16.5984294075685;"1"
"136";49.2120868869379;16.6033402085837;"1"
"137";49.1919118929248;16.6516715637146;"1"
"138";49.2004179677775;16.6176023253888;"1"
"139";49.2020892538335;16.6213337740508;"1"
"140";49.1999983083967;16.6473901254808;"1"
"142";49.2103253683412;16.6599539538426;"1"
"143";49.1830836390911;16.5876013665081;"1"
"144";49.1891232305991;16.6048309005999;"1"
"148";49.2111739103532;16.6141148582006;"1"
"150";49.1769133297768;16.615305197724;"1"
"151";49.2021457373614;16.6001848651838;"1"
"152";49.2181524850976;16.5770888165288;"1"
"153";49.1974332153308;16.5610168477033;"1"
"154";49.2234810584525;16.6453165751658;"1"
"155";49.1717477846619;16.5777540734552;"1"
"157";49.1798798945681;16.6180582556578;"1"
