"","num.picture","id","task1","task2","task3","latitude","longitude","gender","educ","age","rating1","rating2","rating3","rating4","rating5","rating6"
"38",5,"1566997858_secondLastTrialendCB3a1ec953-6557-1dd7-3cf7-ff358c729a87.csv",1,2,2,48.9813787651978,14.5075732770979,1,1,50,1,1,1,1,1,0
"39",6,"1566998674_endCB42846986-fa22-beb6-a622-5faf1ee70349.csv",1,6,5,48.9584292797655,14.5075143293349,1,2,37,1,1,1,1,0,1
"40",6,"1566939860_secondLastTrialendCBdec17f2c-0419-47de-6189-49eaa02148fd.csv",1,3,4,48.9584292797655,14.5075143293349,1,2,69,1,1,1,1,0,1
"41",6,"1564680057_endCB351fc54d987e0a14fd56d67a27df4341.csv",1,4,2,48.9584292797655,14.5075143293349,1,3,33,1,1,1,1,0,1
"42",6,"1566998674_lastTrial1endCB42846986-fa22-beb6-a622-5faf1ee70349.csv",1,6,5,48.9584292797655,14.5075143293349,1,2,37,1,1,1,1,0,1
"43",6,"1565032562_endCBfb139d4d40cfc89c9d562b4db5ec71f3.csv",1,2,3,48.9584292797655,14.5075143293349,1,1,43,1,1,1,1,0,1
"44",6,"1566998670_secondLastTrialendCB42846986-fa22-beb6-a622-5faf1ee70349.csv",1,6,5,48.9584292797655,14.5075143293349,1,2,37,1,1,1,1,0,1
"45",6,"1566998312_endCB96ae55bf-2abe-8181-8c1b-6385de79e763.csv",1,5,4,48.9584292797655,14.5075143293349,1,2,30,1,1,1,1,0,1
"46",6,"1566939864_lastTrial2endCBdec17f2c-0419-47de-6189-49eaa02148fd.csv",1,3,4,48.9584292797655,14.5075143293349,1,2,69,1,1,1,1,0,1
"47",6,"1566998312_lastTrial1endCB96ae55bf-2abe-8181-8c1b-6385de79e763.csv",1,5,4,48.9584292797655,14.5075143293349,1,2,30,1,1,1,1,0,1
"48",6,"1566939864_lastTrial1endCBdec17f2c-0419-47de-6189-49eaa02148fd.csv",1,3,4,48.9584292797655,14.5075143293349,1,2,69,1,1,1,1,0,1
"49",6,"1565379136_endCBf186eec43b6fb754bbed7e22585504bc.csv",1,5,0,48.9584292797655,14.5075143293349,1,2,18,1,1,1,1,0,1
"50",6,"1565017806_endCBf0fe462719b3b791d9e1c31d15259af1.csv",1,3,2,48.9584292797655,14.5075143293349,0,2,48,1,1,1,1,0,1
"51",6,"1566998312_lastTrial2endCB96ae55bf-2abe-8181-8c1b-6385de79e763.csv",1,5,4,48.9584292797655,14.5075143293349,1,2,30,1,1,1,1,0,1
"52",6,"1566939864_endCBdec17f2c-0419-47de-6189-49eaa02148fd.csv",1,3,4,48.9584292797655,14.5075143293349,1,2,69,1,1,1,1,0,1
"53",6,"1566987714_secondLastTrialendCB20080.csv",1,5,3,48.9584292797655,14.5075143293349,1,3,31,1,1,1,1,0,1
"54",6,"1566987716_endCB20080.csv",1,5,3,48.9584292797655,14.5075143293349,1,3,31,1,1,1,1,0,1
"55",6,"1566998674_lastTrial2endCB42846986-fa22-beb6-a622-5faf1ee70349.csv",1,6,5,48.9584292797655,14.5075143293349,1,2,37,1,1,1,1,0,1
"56",6,"1566998310_secondLastTrialendCB96ae55bf-2abe-8181-8c1b-6385de79e763.csv",1,5,4,48.9584292797655,14.5075143293349,1,2,30,1,1,1,1,0,1
"57",6,"1566987716_lastTrial2endCB20080.csv",1,5,3,48.9584292797655,14.5075143293349,1,3,31,1,1,1,1,0,1
"58",6,"1565686708_endCBdc477e483addbc8b22557567b61c8d5b.csv",1,5,4,48.9584292797655,14.5075143293349,1,3,22,1,1,1,1,0,1
"59",6,"1566987716_lastTrial1endCB20080.csv",1,5,3,48.9584292797655,14.5075143293349,1,3,31,1,1,1,1,0,1
"60",7,"1565278667_endCB6095ec4754db01b4d2b134633adcd276.csv",1,3,3,48.964503760427,14.4667424107783,0,2,53,1,1,0,0,0,1
"61",7,"1564573761_endCB0d7ce2a1a24b6c0359603a19918a6845.csv",1,5,3,48.964503760427,14.4667424107783,1,3,53,1,1,0,0,0,1
