"","id","num.picture","task1","task2","task3","city"
"1","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",681,1,1,1,"CB"
"2","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",575,1,3,3,"CB"
"3","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",624,1,4,2,"CB"
"4","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",473,1,1,3,"CB"
"5","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",479,1,1,3,"CB"
"6","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",616,0,1,2,"CB"
"7","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",569,1,1,2,"CB"
"8","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",309,1,4,1,"CB"
"9","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",52,1,5,2,"CB"
"10","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",131,1,3,2,"CB"
"11","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",140,1,3,1,"CB"
"12","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",42,1,4,2,"CB"
"13","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",411,1,3,3,"CB"
"14","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",72,1,3,3,"CB"
"15","1564485797_endCBdb44868f0622feb08623c140b564b127.csv",691,1,3,3,"CB"
"16","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",322,1,6,4,"CB"
"17","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",17,1,6,3,"CB"
"18","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",714,1,6,4,"CB"
"19","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",562,1,4,2,"CB"
"20","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",254,1,4,3,"CB"
"21","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",728,1,5,2,"CB"
"22","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",642,1,4,2,"CB"
"23","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",13,1,4,4,"CB"
"24","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",317,1,5,3,"CB"
"25","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",537,1,2,3,"CB"
"26","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",481,1,2,3,"CB"
"27","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",779,1,3,4,"CB"
"28","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",9,1,4,3,"CB"
"29","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",500,1,4,2,"CB"
"30","1564488805_endCB21dd98c14f864494ecd5c300876ed92a.csv",771,1,3,2,"CB"
"31","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",476,1,4,2,"CB"
"32","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",729,1,2,1,"CB"
"33","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",339,1,1,5,"CB"
"34","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",526,1,3,2,"CB"
"35","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",395,1,3,2,"CB"
"36","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",209,1,4,2,"CB"
"37","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",479,1,1,2,"CB"
"38","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",316,1,1,2,"CB"
"39","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",259,1,4,2,"CB"
"40","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",799,1,4,4,"CB"
"41","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",291,1,2,2,"CB"
"42","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",546,1,2,2,"CB"
"43","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",781,1,2,2,"CB"
"44","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",8,1,3,2,"CB"
"45","1564490614_endCB6adbd3ba7d36527249c6fe20a3be3f64.csv",9,1,2,2,"CB"
"46","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",750,1,1,5,"CB"
"47","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",304,1,1,1,"CB"
"48","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",791,1,4,4,"CB"
"49","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",291,1,4,2,"CB"
"50","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",337,1,4,2,"CB"
"51","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",231,1,5,3,"CB"
"52","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",87,1,2,3,"CB"
"53","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",55,1,5,3,"CB"
"54","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",69,1,4,4,"CB"
"55","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",768,1,5,4,"CB"
"56","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",697,1,4,3,"CB"
"57","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",674,1,1,3,"CB"
"58","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",775,1,4,4,"CB"
"59","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",68,1,4,3,"CB"
"60","1564491258_endCB447c9f7b9eec07ea839c7b8148f33375.csv",503,1,4,5,"CB"
"61","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",573,1,0,1,"CB"
"62","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",317,1,6,1,"CB"
"63","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",186,1,5,4,"CB"
"64","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",572,1,5,3,"CB"
"65","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",124,1,5,0,"CB"
"66","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",182,1,4,2,"CB"
"67","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",79,1,1,1,"CB"
"68","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",662,1,5,1,"CB"
"69","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",259,1,5,4,"CB"
"70","1564494885_endCBe36e0db3d55893357d7986f1192c3322.csv",402,1,4,2,"CB"
